rep_id,beta,syn_id,cam_id,arena_id,mean_trt,var_trt,low_diet,high_diet,assemble_date,date_start,time_start,cat_pre_wt,date_end_camera,time_end_camera,cat_post_wt,cat_dead_cam_end,pupation_date,pupal_weight,pupated_cam_end,eclosure_date,sex,death_date,deformed_adult,notes,temperature,session_id,error,premature_camera_end,camera_cutoff
11,0,beta0_id4,11,11,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-20-2023,11-21-2023,16:30,0.0031,11-26-2023,11:49,0.0068,0,12-09-2023,0.2413,0,12-27-2023,female,01-07-2024,0,,20,1,0,0,413766
12,5,beta5_id8,12,12,1 mg/g,high_var,0 mg/g,2 mg/g,11-20-2023,11-21-2023,16:30,0.0080,11-26-2023,11:49,0.0187,0,12-09-2023,0.2683,0,12-29-2023,female,01-07-2024,0,,20,1,0,0,413765
13,-5,beta-5_id6,13,13,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-20-2023,11-21-2023,16:30,0.0027,11-26-2023,11:49,0.0023,0,NA,NA,0,NA,NA,11-29-2023,0,,20,1,0,0,415202
14,-5,beta-5_id5,14,14,1 mg/g,high_var,0 mg/g,2 mg/g,11-20-2023,11-21-2023,16:30,0.0028,11-22-2023,11:31,NA,0,NA,NA,0,NA,NA,NA,0,replaced bc cat missing,20,1,stopped prematurely,1,65236
15,-5,beta-5_id3,15,15,1 mg/g,high_var,0 mg/g,2 mg/g,11-20-2023,11-21-2023,16:30,0.0024,11-26-2023,11:49,0.0237,0,12-06-2023,0.2428,0,12-23-2023,male,01-07-2024,0,,20,1,0,0,411958
16,-5,beta-5_id2,16,16,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-20-2023,11-21-2023,16:30,0.0027,11-26-2023,11:49,0.0115,0,12-08-2023,0.2678,0,12-26-2023,female,01-07-2024,0,,20,1,0,0,413762
17,5,beta5_id7,17,17,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-20-2023,11-21-2023,16:30,0.0022,11-26-2023,11:49,0.0047,0,NA,NA,0,NA,NA,12-06-2023,0,,20,1,0,0,184176
18,0,beta0_id3,18,18,1 mg/g,high_var,0 mg/g,2 mg/g,11-20-2023,11-21-2023,16:30,0.0025,11-26-2023,11:49,0.0218,0,NA,NA,0,NA,NA,12-13-2023,0,,20,1,0,0,413765
19,-5,beta-5_id7,19,19,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-20-2023,11-21-2023,16:30,0.0026,11-25-2023,14:12,NA,1,NA,NA,0,NA,NA,11-25-2023,0,,20,1,0,0,147053
20,0,beta0_id7,20,20,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-20-2023,11-21-2023,16:30,0.0036,11-26-2023,11:49,0.0042,0,NA,NA,0,NA,NA,11-29-2023,0,,20,1,0,0,411969
21,0,beta0_id5,21,21,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-20-2023,11-21-2023,16:30,0.0036,11-25-2023,14:12,NA,1,NA,NA,0,NA,NA,11-25-2023,0,,20,1,0,0,305637
22,5,beta5_id3,22,22,1 mg/g,high_var,0 mg/g,2 mg/g,11-20-2023,11-21-2023,16:30,0.0021,11-26-2023,11:49,0.0123,0,NA,NA,0,NA,NA,11-27-2023,0,,20,1,0,0,411967
23,5,beta5_id1,23,23,1 mg/g,high_var,0 mg/g,2 mg/g,11-20-2023,11-21-2023,16:30,0.0029,11-26-2023,11:49,0.0068,0,12-09-2023,0.2526,0,12-28-2023,male,01-07-2024,0,,20,1,0,0,411969
24,0,beta0_id8,24,24,1 mg/g,high_var,0 mg/g,2 mg/g,11-20-2023,11-21-2023,16:30,0.0057,11-26-2023,11:49,0.0283,0,12-09-2023,0.2268,0,NA,NA,01-07-2024,0,failed pupation,20,1,0,0,413774
25,NA,NA,25,25,0 mg/g,constant,0 mg/g,0 mg/g,11-20-2023,11-21-2023,16:30,0.0042,11-25-2023,14:12,NA,1,NA,NA,0,NA,NA,11-25-2023,0,,20,1,0,0,113174
26,NA,NA,26,26,0.5 mg/g,constant,0.5 mg/g,0.5 mg/g,11-20-2023,11-21-2023,16:30,0.0096,11-26-2023,11:49,0.0046,0,,,0,NA,NA,11-27-2023,0,has mold growing on its body,20,1,0,0,411596
27,NA,NA,27,27,1 mg/g,constant,1 mg/g,1 mg/g,11-20-2023,11-21-2023,16:30,0.0099,11-25-2023,14:12,NA,1,NA,NA,0,NA,NA,11-25-2023,0,,20,1,0,0,282207
28,NA,NA,28,28,1 mg/g,constant,1 mg/g,1 mg/g,11-20-2023,11-21-2023,16:30,0.0108,11-26-2023,11:49,0.0337,0,12-08-2023,0.2667,0,12-26-2023,male,01-07-2024,0,,20,1,0,0,413762
29,NA,NA,29,29,1.5 mg/g,constant,1.5 mg/g,1.5 mg/g,11-20-2023,11-21-2023,16:30,0.0116,11-26-2023,11:49,0.0468,0,12-06-2023,0.2083,0,12-24-2023,male,01-07-2024,0,,20,1,0,0,413771
30,NA,NA,30,30,2 mg/g,constant,2 mg/g,2 mg/g,11-20-2023,11-21-2023,16:30,0.0099,11-25-2023,15:02,NA,1,NA,NA,0,NA,NA,11-25-2023,0,,20,1,0,0,107769
31,-5,beta-5_id5,14,14,1 mg/g,high_var,0 mg/g,2 mg/g,11-20-2023,11-22-2023,16:30,0.0118,11-27-2023,9:01,0.0556,0,12-04-2023,0.2261,0,12-20-2023,female,01-01-2024,0,replaced rep 14,20,1,0,0,417329
32,0,beta0_id13,1,1,1 mg/g,high_var,0 mg/g,2 mg/g,11-27-2023,11-27-2023,16:37,0.0333,12-01-2023,13:49,NA,1,NA,NA,0,NA,NA,12-01-2023,0,,24,2,0,0,321494
33,0,beta0_id15,2,2,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-27-2023,11-27-2023,16:37,0.0532,11-30-2023,10:40,NA,1,NA,NA,0,NA,NA,11-30-2023,0,,24,2,0,0,114613
34,5,beta5_id11,3,3,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-27-2023,11-27-2023,16:37,0.0287,12-02-2023,16:10,0.1683,0,12-07-2023,0.2408,0,12-23-2023,female,01-07-2024,0,,24,2,0,0,429981
35,-5,beta-5_id10,4,4,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-27-2023,11-27-2023,17:42,0.0970,12-01-2023,13:49,0.2171,0,12-01-2023,0.1975,1,NA,NA,12-16-2023,0,,24,2,0,0,299871
36,-5,beta-5_id14,5,5,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-27-2023,11-27-2023,17:42,0.0711,12-01-2023,13:49,0.2196,0,12-01-2023,0.2002,1,12-20-2023,female,12-27-2023,1,,24,2,0,0,302031
37,-5,beta-5_id16,6,6,1 mg/g,high_var,0 mg/g,2 mg/g,11-27-2023,11-27-2023,17:42,0.1526,11-30-2023,16:24,0.1978,0,11-30-2023,NA,1,NA,NA,12-04-2023,0,,24,2,0,0,185976
38,-5,beta-5_id13,7,7,1 mg/g,high_var,0 mg/g,2 mg/g,11-27-2023,11-27-2023,17:42,0.0790,12-02-2023,16:22,0.3138,0,12-04-2023,0.2324,0,12-22-2023,female,01-02-2024,0,,24,2,0,0,427103
39,0,beta0_id14,8,8,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-27-2023,11-27-2023,17:42,0.1168,12-02-2023,15:26,0.2215,0,12-02-2023,0.2111,1,12-19-2023,female,01-07-2024,0,,24,2,0,0,338793
40,0,beta0_id9,9,9,1 mg/g,high_var,0 mg/g,2 mg/g,11-27-2023,11-27-2023,17:42,0.2104,11-30-2023,10:40,0.2481,0,11-30-2023,0.2254,1,12-20-2023,male,01-01-2024,0,,24,2,0,0,173362
41,0,beta0_id16,10,10,1 mg/g,high_var,0 mg/g,2 mg/g,11-27-2023,11-27-2023,16:37,0.0617,12-02-2023,15:26,0.268,0,12-02-2023,0.2041,1,12-24-2023,male,01-01-2024,1,,24,2,0,0,373043
42,5,beta5_id9,11,11,1 mg/g,high_var,0 mg/g,2 mg/g,11-27-2023,11-27-2023,16:37,0.0641,12-02-2023,15:26,0.2726,0,12-02-2023,0.205,1,12-22-2023,male,01-07-2024,0,,24,2,0,0,384928
43,5,beta5_id10,12,12,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-27-2023,11-27-2023,17:42,0.0899,12-01-2023,13:49,0.2283,0,12-01-2023,0.2108,1,12-21-2023,male,01-01-2024,1,time lapse files corrupted,24,2,0,0,NA
44,5,beta5_id10,13,13,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-27-2023,11-27-2023,17:42,0.0613,12-02-2023,16:10,0.2326,0,12-06-2023,0.2173,0,12-23-2023,female,01-07-2024,0,,24,2,0,0,427101
45,-5,beta-5_id11,14,14,1 mg/g,high_var,0 mg/g,2 mg/g,11-27-2023,11-27-2023,17:42,0.1095,12-01-2023,13:49,0.2499,0,12-01-2023,0.232,1,12-19-2023,male,01-01-2024,0,,24,2,0,0,281849
46,0,beta0_id11,15,15,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-27-2023,11-27-2023,17:42,0.0952,12-02-2023,15:26,NA,1,NA,NA,0,NA,NA,12-02-2023,0,,24,2,0,0,360422
47,-5,beta-5_id9,16,16,1 mg/g,high_var,0 mg/g,2 mg/g,11-27-2023,11-27-2023,17:42,0.2016,11-30-2023,10:40,0.1938,0,11-30-2023,0.1764,1,12-17-2023,female,12-27-2023,0,,24,2,0,0,139845
48,5,beta5_id14,17,17,1 mg/g,high_var,0 mg/g,2 mg/g,11-27-2023,11-27-2023,17:42,0.1625,11-30-2023,10:40,0.2416,0,11-30-2023,0.208,1,NA,NA,12-16-2023,0,,24,2,0,0,87943
49,5,beta5_id15,18,18,1 mg/g,high_var,0 mg/g,2 mg/g,11-27-2023,11-27-2023,16:37,0.0552,12-01-2023,13:49,0.2455,0,12-01-2023,0.1711,1,NA,NA,01-07-2024,0,failed pupation,24,2,0,0,318257
50,-5,beta-5_id15,19,19,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-27-2023,11-27-2023,16:37,0.0549,12-02-2023,16:49,0.2454,0,12-04-2023,0.2195,0,NA,NA,12-09-2023,0,,24,2,0,0,433231
51,-5,beta-5_id12,20,20,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-27-2023,11-27-2023,16:37,0.0365,12-02-2023,16:49,0.1977,0,12-06-2023,0.2365,0,12-23-2023,female,01-03-2024,0,,24,2,0,0,433232
52,5,beta5_id12,21,21,1 mg/g,high_var,0 mg/g,2 mg/g,11-27-2023,11-27-2023,17:42,0.0814,12-01-2023,13:49,0.1861,0,12-01-2023,0.1771,1,NA,NA,01-07-2024,0,failed pupation,24,2,0,0,246169
53,0,beta0_id10,22,22,1 mg/g,high_var,0 mg/g,2 mg/g,11-27-2023,11-27-2023,17:42,0.0704,12-01-2023,13:49,0.1987,0,12-01-2023,NA,1,NA,NA,12-04-2023,0,,24,2,0,0,266717
54,5,beta5_id13,23,23,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-27-2023,11-27-2023,17:42,0.0926,12-01-2023,13:49,0.246,0,12-01-2023,0.2267,1,NA,NA,01-07-2024,0,failed pupation,24,2,0,0,284380
55,0,beta0_id12,24,24,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-27-2023,11-27-2023,17:42,0.0936,12-02-2023,15:26,0.2365,0,12-02-2023,0.2264,1,12-19-2023,female,01-01-2024,0,,24,2,0,0,332314
56,NA,NA,25,25,0.5 mg/g,constant,0.5 mg/g,0.5 mg/g,11-27-2023,11-27-2023,16:37,0.0287,11-29-2023,9:14,NA,1,NA,NA,0,NA,NA,11-29-2023,0,,24,2,0,0,73888
57,NA,NA,26,26,0 mg/g,constant,0 mg/g,0 mg/g,11-27-2023,11-27-2023,16:37,0.0377,12-02-2023,16:49,0.0709,0,NA,NA,0,NA,NA,12-08-2023,0,,24,2,0,0,433220
58,NA,NA,27,27,2 mg/g,constant,2 mg/g,2 mg/g,11-27-2023,11-27-2023,17:42,0.0107,12-02-2023,16:40,0.0324,0,12-14-2023,0.2418,0,12-31-2023,female,01-08-2024,0,escaped and returned by itself between s2523 - s59830,24,2,0,0,429620
59,NA,NA,28,28,1.5 mg/g,constant,1.5 mg/g,1.5 mg/g,11-27-2023,11-27-2023,17:42,0.1493,12-01-2023,13:49,0.1955,0,12-01-2023,0.179,1,12-20-2023,female,01-07-2024,0,,24,2,0,0,269237
60,NA,NA,29,29,1 mg/g,constant,1 mg/g,1 mg/g,11-27-2023,11-27-2023,17:42,0.0664,12-01-2023,13:49,NA,1,NA,NA,0,NA,NA,12-01-2023,0,,24,2,0,0,291224
61,NA,NA,30,30,1 mg/g,constant,1 mg/g,1 mg/g,11-27-2023,11-27-2023,17:42,0.0579,12-02-2023,16:33,0.2429,0,12-06-2023,0.2258,0,12-23-2023,female,01-07-2024,0,,24,2,0,0,429982
62,0,beta0_id21,1,1,1 mg/g,high_var,0 mg/g,2 mg/g,12-04-2023,12-04-2023,16:30,0.0643,12-09-2023,18:47,0.2622,0,12-10-2023,0.2239,0,NA,NA,01-07-2024,0,failed pupation,22,3,0,0,440791
63,-5,beta-5_id21,2,2,1 mg/g,high_var,0 mg/g,2 mg/g,12-04-2023,12-04-2023,16:30,0.0428,12-09-2023,18:47,0.0339,0,NA,NA,0,NA,NA,12-16-2023,0,,22,3,0,0,440793
64,-5,beta-5_id18,3,3,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,12-04-2023,12-04-2023,16:30,0.0540,12-09-2023,18:47,0.2063,0,12-13-2023,0.2338,0,12-31-2023,male,01-07-2024,0,,22,3,0,0,439353
65,0,beta0_id24,4,4,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,12-04-2023,12-04-2023,16:30,0.0133,12-09-2023,18:47,0.1387,0,12-14-2023,0.2597,0,12-31-2023,male,01-08-2024,0,,22,3,0,0,439354
66,-5,beta-5_id17,5,5,1 mg/g,high_var,0 mg/g,2 mg/g,12-04-2023,12-04-2023,16:30,0.0108,12-09-2023,18:47,0.1323,0,12-15-2023,0.2516,0,01-03-2024,male,01-09-2024,0,,22,3,0,0,438989
67,5,beta5_id20,6,6,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,12-04-2023,12-04-2023,16:30,0.0062,12-09-2023,18:47,0.0212,0,12-23-2023,0.2561,0,NA,NA,01-09-2024,0,failed pupation,22,3,0,0,438257
68,5,beta5_id19,7,7,1 mg/g,high_var,0 mg/g,2 mg/g,12-04-2023,12-04-2023,16:30,0.0716,12-09-2023,18:47,0.2628,0,12-09-2023,0.235,1,12-27-2023,female,01-07-2024,0,,22,3,0,0,354662
69,5,beta5_id21,8,8,1 mg/g,high_var,0 mg/g,2 mg/g,12-04-2023,12-04-2023,16:30,0.0595,12-08-2023,10:00,NA,1,NA,NA,0,NA,NA,12-08-2023,0,,22,3,0,0,320770
70,0,beta0_id19,9,9,1 mg/g,high_var,0 mg/g,2 mg/g,12-04-2023,12-04-2023,16:30,0.0697,12-08-2023,10:00,NA,1,NA,NA,0,NA,NA,12-08-2023,0,,22,3,0,0,192464
71,-5,beta-5_id23,10,10,1 mg/g,high_var,0 mg/g,2 mg/g,12-04-2023,12-04-2023,16:30,0.0092,12-09-2023,18:47,0.0696,0,NA,NA,0,NA,NA,12-11-2023,0,,22,3,0,0,440796
72,5,beta5_id17,11,11,1 mg/g,high_var,0 mg/g,2 mg/g,12-04-2023,12-04-2023,16:30,0.0634,12-09-2023,18:47,0.2534,0,12-09-2023,0.2185,1,12-27-2023,female,01-07-2024,0,,22,3,0,0,415925
73,5,beta5_id22,12,12,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,12-04-2023,12-04-2023,16:30,0.0638,12-09-2023,18:47,0.0816,0,NA,NA,0,NA,NA,12-11-2023,0,,22,3,0,0,439350
74,0,beta0_id22,13,13,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,12-04-2023,12-04-2023,16:30,0.0095,12-09-2023,18:47,0.0408,0,12-20-2023,0.2733,0,01-07-2024,male,01-22-2024,0,prepupal weight as pupa weight,22,3,0,0,439360
75,0,beta0_id23,14,14,1 mg/g,high_var,0 mg/g,2 mg/g,12-04-2023,12-04-2023,16:30,0.0061,12-08-2023,10:00,NA,1,NA,NA,0,NA,NA,12-08-2023,0,,22,3,0,0,186338
76,5,beta5_id18,15,15,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,12-04-2023,12-04-2023,16:30,0.0045,12-08-2023,10:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,deleted camera data because caterpillar escaped,22,3,caterpillar escaped,0,NA
77,0,beta0_id17,16,16,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,12-04-2023,12-04-2023,16:30,0.0649,12-09-2023,18:47,0.0697,0,12-11-2023,0.2246,0,12-27-2023,female,01-07-2024,0,,22,3,0,0,437896
78,5,beta5_id23,17,17,1 mg/g,high_var,0 mg/g,2 mg/g,12-04-2023,12-04-2023,16:30,0.0346,12-09-2023,18:47,0.2499,0,12-13-2023,0.2811,0,12-31-2023,male,01-13-2024,1,,22,3,0,0,440800
79,0,beta0_id18,18,18,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,12-04-2023,12-04-2023,16:30,0.0662,12-09-2023,18:47,0.2692,0,12-10-2023,0.2319,0,12-29-2023,male,01-07-2024,0,,22,3,0,0,441151
80,-5,beta-5_id19,19,19,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,12-04-2023,12-04-2023,16:30,0.0135,12-09-2023,18:47,0.1293,0,12-14-2023,0.2199,0,12-31-2023,male,01-17-2024,0,,22,3,0,0,441158
81,5,beta5_id24,20,20,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,12-04-2023,12-04-2023,16:30,0.0362,12-09-2023,18:47,0.2476,0,12-11-2023,0.2152,0,12-27-2023,female,01-07-2024,0,,22,3,0,0,441162
82,-5,beta-5_id20,21,21,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,12-04-2023,12-04-2023,16:30,0.0291,12-09-2023,18:47,0.2168,0,12-12-2023,NA,0,NA,NA,12-16-2023,0,failed pupation,22,3,0,0,440794
83,0,beta0_id20,22,22,1 mg/g,high_var,0 mg/g,2 mg/g,12-04-2023,12-04-2023,16:30,0.0313,12-09-2023,18:47,0.2534,0,12-10-2023,0.2335,0,12-30-2023,male,01-08-2024,1,,22,3,0,0,441165
84,-5,beta-5_id24,23,23,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,12-04-2023,12-04-2023,16:30,0.0457,12-09-2023,18:47,0.2018,0,12-13-2023,0.2397,0,12-30-2023,male,01-07-2024,0,,22,3,0,0,441154
85,-5,beta-5_id22,24,24,1 mg/g,high_var,0 mg/g,2 mg/g,12-04-2023,12-04-2023,16:30,0.0330,12-09-2023,18:47,0.2688,0,12-11-2023,0.2358,0,12-30-2023,female,01-07-2024,0,,22,3,0,0,441165
86,NA,NA,25,25,0 mg/g,constant,0 mg/g,0 mg/g,12-04-2023,12-04-2023,16:30,0.0242,12-09-2023,18:47,0.3127,0,12-11-2023,0.2879,0,12-30-2023,female,01-17-2024,0,,22,3,0,0,441155
87,NA,NA,26,26,1 mg/g,constant,1 mg/g,1 mg/g,12-04-2023,12-04-2023,16:30,0.0534,12-09-2023,18:47,0.224,0,12-13-2023,0.2247,0,12-30-2023,male,01-15-2024,0,escaped and returned between s6128 - s150296,22,3,0,0,441154
88,NA,NA,27,27,0.5 mg/g,constant,0.5 mg/g,0.5 mg/g,12-04-2023,12-04-2023,16:30,0.0668,12-09-2023,18:47,0.2569,0,12-09-2023,0.2297,1,12-26-2023,female,01-07-2024,0,,22,3,0,0,369433
89,NA,NA,28,28,1 mg/g,constant,1 mg/g,1 mg/g,12-04-2023,12-04-2023,16:30,0.0180,12-09-2023,18:47,0.0958,0,12-15-2023,0.2822,0,01-03-2024,female,01-09-2024,0,,22,3,0,0,441157
90,NA,NA,29,29,2 mg/g,constant,2 mg/g,2 mg/g,12-04-2023,12-04-2023,16:30,0.0347,12-09-2023,18:47,0.1504,0,12-14-2023,0.2432,0,12-31-2023,male,01-07-2024,0,,22,3,0,0,441163
91,NA,NA,30,30,1.5 mg/g,constant,1.5 mg/g,1.5 mg/g,12-04-2023,12-04-2023,16:30,0.0466,12-09-2023,18:47,0.2046,0,12-13-2023,0.1904,0,NA,NA,01-07-2024,0,"camera stopped prematurely, failed pupation",22,3,0,1,26671
92,5,beta5_id28,1,1,1 mg/g,high_var,0 mg/g,2 mg/g,12-11-2023,12-11-2023,16:38,0.0197,12-16-2023,18:00,0.144,0,12-21-2023,0.2387,0,01-07-2024,female,01-17-2024,1,,21,4,0,0,436829
93,0,beta0_id25,2,2,1 mg/g,high_var,0 mg/g,2 mg/g,12-11-2023,12-11-2023,16:38,0.0167,12-16-2023,18:00,0.1083,0,12-21-2023,0.2847,0,01-07-2024,female,01-19-2024,0,,21,4,0,0,436826
94,0,beta0_id27,3,3,1 mg/g,high_var,0 mg/g,2 mg/g,12-11-2023,12-11-2023,16:38,0.006,12-16-2023,18:00,0.0681,0,12-23-2023,0.2691,0,01-14-2024,male,01-22-2024,1,,21,4,0,0,436834
95,0,beta0_id32,4,4,1 mg/g,high_var,0 mg/g,2 mg/g,12-11-2023,12-11-2023,16:38,0.1344,12-15-2023,10:04,0.2732,0,12-15-2023,0.2499,1,01-04-2024,female,01-09-2024,0,,21,4,0,0,265631
96,0,beta0_id29,5,5,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,12-11-2023,12-11-2023,16:38,0.0086,12-16-2023,18:00,0.0426,0,12-23-2023,0.237,0,01-09-2024,female,01-22-2024,0,,21,4,0,0,436825
97,-5,beta-5_id27,6,6,1 mg/g,high_var,0 mg/g,2 mg/g,12-11-2023,12-11-2023,16:38,0.1237,12-15-2023,10:04,0.2465,0,12-15-2023,0.2093,1,01-03-2024,male,01-08-2024,0,,21,4,0,0,265628
98,0,beta0_id30,7,7,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,12-11-2023,12-11-2023,16:38,0.008,12-16-2023,18:00,0.0368,0,12-23-2023,0.2355,0,01-09-2024,female,01-22-2024,0,,21,4,0,0,436830
99,5,beta5_id25,8,8,1 mg/g,high_var,0 mg/g,2 mg/g,12-11-2023,12-11-2023,16:38,0.0591,12-16-2023,18:00,0.2713,0,12-17-2023,0.2178,0,01-03-2024,female,01-11-2024,0,,21,4,0,0,436825
100,0,beta0_id28,9,9,1 mg/g,high_var,0 mg/g,2 mg/g,12-11-2023,12-11-2023,16:38,0.0661,12-16-2023,13:40,0.2769,0,12-16-2023,0.237,1,01-03-2024,male,01-13-2024,0,,21,4,0,0,406914
101,5,beta5_id27,10,10,1 mg/g,high_var,0 mg/g,2 mg/g,12-11-2023,12-11-2023,16:38,0.0113,12-16-2023,18:00,0.051,0,12-23-2023,0.2895,0,NA,NA,01-22-2024,0,,21,4,0,0,436831
102,5,beta5_id31,11,11,1 mg/g,high_var,0 mg/g,2 mg/g,12-11-2023,12-11-2023,16:38,0.0556,12-16-2023,18:00,0.2509,0,12-16-2023,0.2188,0,01-03-2024,female,01-15-2024,0,,21,4,0,0,436831
103,5,beta5_id26,12,12,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,12-11-2023,12-11-2023,16:38,0.0213,12-16-2023,18:00,0.0458,0,NA,NA,0,NA,NA,12-18-2023,0,,21,4,0,0,436834
104,0,beta0_id31,13,13,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,12-11-2023,12-11-2023,16:38,0.066,12-16-2023,13:40,0.2553,0,12-16-2023,0.2196,1,01-03-2024,male,01-07-2024,0,,21,4,0,0,368716
105,0,beta0_id26,14,14,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,12-11-2023,12-11-2023,16:38,0.0749,12-16-2023,18:00,0.242,0,12-17-2023,0.2011,0,01-03-2024,female,01-11-2024,0,,21,4,0,0,436825
106,5,beta5_id32,15,15,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,12-11-2023,12-11-2023,16:38,0.004,12-16-2023,18:00,0.0053,0,NA,NA,0,NA,NA,12-20-2023,0,could not find on death date,21,4,0,0,436826
107,-5,beta-5_id32,16,16,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,12-11-2023,12-11-2023,16:38,0.0148,12-16-2023,18:00,0.0897,0,12-22-2023,0.2618,0,01-11-2024,male,01-22-2024,1,,21,4,0,0,436820
108,5,beta5_id29,17,17,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,12-11-2023,12-11-2023,17:00,0.0468,12-16-2023,18:00,0.1933,0,12-21-2023,0.2924,0,01-08-2024,male,01-22-2024,0,escaped retreived 10:30 12-13-2023 (deleted s120022 - s150298 frames when the cats is outside of the arena),21,4,0,0,433951
109,-5,beta-5_id28,18,18,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,12-11-2023,12-11-2023,17:00,0.1433,12-16-2023,18:00,0.1134,0,NA,NA,0,NA,NA,12-18-2023,0,,21,4,0,0,435389
